Date,Time,Open,High,Low,Close,Volume,"Volume Weighted Moving Average - VMA - VMA(Close,60)","Linear Regression - LR - LR(20)","BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)","Standard Deviation - SD - SD(5,Population)"
03/31/2020,12:31 PM,160.14,160.19,160,160.065,65454,161.167926233019,159.883674285716,161.168597153744,159.698422846256,0.0511640732833883
03/31/2020,12:32 PM,160.07,160.17,159.66,159.78,123229,161.122108489568,159.827957142858,161.090790301081,159.64522969892,0.12104016853125
03/31/2020,12:33 PM,159.79,160.01,159.57,159.7721,114637,161.082813717313,159.791487142858,160.983334549054,159.618895450947,0.149338442468726
03/31/2020,12:34 PM,159.76,159.7699,159.52,159.62,108513,161.043955632426,159.730882857144,160.907483512144,159.560746487856,0.195456108635961
03/31/2020,12:35 PM,159.66,159.79,159.5566,159.73,77758,161.012259735031,159.693850000001,160.835410672781,159.525819327219,0.147300324508871
03/31/2020,12:36 PM,159.745,159.89,159.62,159.8,113929,160.967089790864,159.700102857144,160.694180034039,159.552049965961,0.0643887070811345
03/31/2020,12:37 PM,159.8202,159.8805,159.65,159.74,104034,160.920238801934,159.673641428573,160.6371691856,159.5260608144,0.0613891326307264
03/31/2020,12:38 PM,159.74,159.85,159.69,159.74,108956,160.849545549467,159.668037142859,160.542182639258,159.529047360743,0.0585149553602665
03/31/2020,12:39 PM,159.73,159.79,159.02,159.23,198208,160.777242090428,159.555861428573,160.563519637155,159.389710362845,0.210466149300752
03/31/2020,12:40 PM,159.26,159.27,158.81,159.01,197463,160.712720390133,159.428185714287,160.577293968922,159.227436031078,0.32190681881809
03/31/2020,12:41 PM,159.02,159.17,158.95,159.06,147061,160.664970615407,159.291510000001,160.611165205773,159.089564794228,0.32190681881809
03/31/2020,12:42 PM,159.0771,159.1199,158.87,158.995,145812,160.597500718965,159.156620000001,160.633273386881,158.957956613119,0.279277639632194
03/31/2020,12:43 PM,159,159.0503,158.8603,159.04,223295,160.534477094424,159.062730000001,160.605159480833,158.864070519167,0.0845931439024606
03/31/2020,12:44 PM,159.0674,159.4,159.035,159.275,100689,160.493592471472,159.041911428573,160.518758991607,158.839971008394,0.102049007839555
03/31/2020,12:45 PM,159.28,159.41,159.1,159.13,133698,160.447551512338,159.006950000001,160.430835549048,158.805894450952,0.097724101426316
03/31/2020,12:46 PM,159.15,159.17,158.99,159.13,90728,160.400678741811,158.967417142859,160.371766763174,158.764963236826,0.0959895827798424
03/31/2020,12:47 PM,159.13,159.185,159.07,159.1251,88885,160.354887026104,158.937260000002,160.308168368063,158.732071631937,0.0756928107778904
